genus	num	cov	type
genus_2	20-30	25.81	BDP
genus_2	20-30	25.86	BUP
genus_2	30-40	33.85	BDP
genus_2	30-40	31.48	BUP
genus_2	40-50	41.38	BDP
genus_2	40-50	36.49	BUP
genus_2	50-60	50.75	BDP
genus_2	50-60	38.67	BUP
genus_2	60-70	59.65	BDP
genus_2	60-70	40.62	BUP
genus_2	70-80	67.69	BDP
genus_2	70-80	40	BUP
genus_2	80-90	74.58	BDP
genus_2	80-90	35.48	BUP
genus_2	90-100	82.34	BDP
genus_2	90-100	38.89	BUP
genus_3	20-30	25.4	BDP
genus_3	20-30	25.81	BUP
genus_3	30-40	33.33	BDP
genus_3	30-40	31.67	BUP
genus_3	40-50	42.86	BDP
genus_3	40-50	37.93	BUP
genus_3	50-60	52.83	BDP
genus_3	50-60	43.75	BUP
genus_3	60-70	62.5	BDP
genus_3	60-70	51.02	BUP
genus_3	70-80	70.37	BDP
genus_3	70-80	44.64	BUP
genus_3	80-90	78.95	BDP
genus_3	80-90	41.38	BUP
genus_3	90-100	85.58	BDP
genus_3	90-100	56.11	BUP
genus_4	20-30	25.68	BDP
genus_4	20-30	25	BUP
genus_4	30-40	33.82	BDP
genus_4	30-40	30.86	BUP
genus_4	40-50	43.06	BDP
genus_4	40-50	34.78	BUP
genus_4	50-60	50.7	BDP
genus_4	50-60	28.57	BUP
genus_4	60-70	58.23	BDP
genus_4	60-70	26.92	BUP
genus_4	70-80	69.57	BDP
genus_4	70-80	27.85	BUP
genus_4	80-90	81.69	BDP
genus_4	80-90	26.92	BUP
genus_4	90-100	89.74	BDP
genus_4	90-100	44.78	BUP
genus_5	20-30	25.86	BDP
genus_5	20-30	26.23	BUP
genus_5	30-40	35.09	BDP
genus_5	30-40	31.03	BUP
genus_5	40-50	43.55	BDP
genus_5	40-50	33.33	BUP
genus_5	50-60	51.56	BDP
genus_5	50-60	32.73	BUP
genus_5	60-70	59.02	BDP
genus_5	60-70	32.2	BUP
genus_5	70-80	67.21	BDP
genus_5	70-80	32.26	BUP
genus_5	80-90	80	BDP
genus_5	80-90	29.46	BUP
genus_5	90-100	87.91499999999999	BDP
genus_5	90-100	57.14	BUP
genus_6	20-30	25.81	BDP
genus_6	20-30	25	BUP
genus_6	30-40	33.33	BDP
genus_6	30-40	30.77	BUP
genus_6	40-50	44.44	BDP
genus_6	40-50	40.28	BUP
genus_6	50-60	52.86	BDP
genus_6	50-60	47.89	BUP
genus_6	60-70	61.43	BDP
genus_6	60-70	53.16	BUP
genus_6	70-80	69.44	BDP
genus_6	70-80	51.56	BUP
genus_6	80-90	77.78	BDP
genus_6	80-90	46.67	BUP
genus_6	90-100	86.62	BDP
genus_6	90-100	54.1	BUP
genus_7	20-30	28.57	BDP
genus_7	20-30	29.31	BUP
genus_7	30-40	34.48	BDP
genus_7	30-40	32.81	BUP
genus_7	40-50	42.62	BDP
genus_7	40-50	37.29	BUP
genus_7	50-60	53.33	BDP
genus_7	50-60	38.98	BUP
genus_7	60-70	63.33	BDP
genus_7	60-70	50	BUP
genus_7	70-80	70.31	BDP
genus_7	70-80	58.57	BUP
genus_7	80-90	76.86500000000001	BDP
genus_7	80-90	46.15	BUP
genus_7	90-100	75.34	BDP
genus_7	90-100	42.505	BUP
genus_8	20-30	25.35	BDP
genus_8	20-30	26.03	BUP
genus_8	30-40	33.85	BDP
genus_8	30-40	33.85	BUP
genus_8	40-50	43.75	BDP
genus_8	40-50	43.08	BUP
genus_8	50-60	54.41	BDP
genus_8	50-60	52.7	BUP
genus_8	60-70	63.33	BDP
genus_8	60-70	62.32	BUP
genus_8	70-80	71.43	BDP
genus_8	70-80	68.25	BUP
genus_8	80-90	78.87	BDP
genus_8	80-90	73.13	BUP
genus_8	90-100	81.83500000000001	BDP
genus_8	90-100	91.34	BUP
genus_9	20-30	31.75	BDP
genus_9	20-30	30.77	BUP
genus_9	30-40	34.43	BDP
genus_9	30-40	33.33	BUP
genus_9	40-50	40.32	BDP
genus_9	40-50	35.38	BUP
genus_9	50-60	53.42	BDP
genus_9	50-60	32.86	BUP
genus_9	60-70	61.9	BDP
genus_9	60-70	32.31	BUP
genus_9	70-80	71.01	BDP
genus_9	70-80	34.72	BUP
genus_9	80-90	79.37	BDP
genus_9	80-90	38.24	BUP
genus_9	90-100	87.5	BDP
genus_9	90-100	50	BUP
genus_10	20-30	31.91	BDP
genus_10	20-30	31.11	BUP
genus_10	30-40	35.19	BDP
genus_10	30-40	32.69	BUP
genus_10	40-50	43.75	BDP
genus_10	40-50	35.29	BUP
genus_10	50-60	56.36	BDP
genus_10	50-60	46.3	BUP
genus_10	60-70	62.96	BDP
genus_10	60-70	50.88	BUP
genus_10	70-80	70.91	BDP
genus_10	70-80	46.55	BUP
genus_10	80-90	77.36	BDP
genus_10	80-90	43.1	BUP
genus_10	90-100	78.26	BDP
genus_10	90-100	48.08	BUP
