type	class	percent
all	RNA	0.38457282
all	crispr	0.000188323
all	cds	0.399320175
all	none	0.175454708
all	multi-gene	0.040463973
y_int	RNA	0.442703708
y_int	none	0.140945253
y_int	multi-gene	0.035688613
y_int	crispr	6.04073E-05
y_int	cds	0.380602019
others	RNA	0.061677411
others	none	0.526591459
others	multi-gene	0.056876175
others	crispr	0.000805802
others	cds	0.354049154
tnp	RNA	0.007699511
tnp	none	0.365674748
tnp	multi-gene	0.00489023
tnp	crispr	0.001508688
tnp	cds	0.620226823
s_int	RNA	0.06476894
s_int	none	0.111071075
s_int	multi-gene	0.005585082
s_int	crispr	0.000360328
s_int	cds	0.818214575
