class	phylum	domain	host	host2	BDP	BUP	total	total2	BDP_ratio
Myxococcia	Myxococcota	Bacteria	193	2.285557309	38	159	197	2.294466226	19.68911917
Spirochaetia	Spirochaetota	Bacteria	958	2.981365509	132	132	264	2.421603927	13.77870564
Campylobacteria	Campylobacterota	Bacteria	10687	4.028855809	2781	1165	3946	3.596157081	26.02227005
Brachyspirae	Spirochaetota	Bacteria	280	2.447158031	76	151	227	2.356025857	27.14285714
Alphaproteobacteria	Pseudomonadota	Bacteria	18743	4.272839105	11192	22128	33320	4.522704993	59.7129595
Gammaproteobacteria	Pseudomonadota	Bacteria	196250	5.292809665	305169	196139	501308	5.700104635	155.5001274
Leptospirae	Spirochaetota	Bacteria	935	2.970811611	291	930	1221	3.086715664	31.12299465
Planctomycetia	Planctomycetota	Bacteria	230	2.361727836	44	359	403	2.605305046	19.13043478
Bacteroidia	Bacteroidota	Bacteria	19882	4.298460069	8951	19874	28825	4.459769316	45.02062167
Deinococci	Deinococcota	Bacteria	401	2.603144373	57	193	250	2.397940009	14.21446384
Bacilli	Bacillota	Bacteria	90507	4.95668217	74488	84883	159371	5.202409298	82.30081651
Chlamydiia	Chlamydiota	Bacteria	567	2.753583059	0	2	2	0.301029996	0
Clostridia	Bacillota_A	Bacteria	13858	4.141700557	8902	17047	25949	4.414120626	64.23726367
Fusobacteriia	Fusobacteriota	Bacteria	785	2.894869657	509	337	846	2.927370363	64.84076433
Cyanobacteriia	Cyanobacteriota	Bacteria	2143	3.331022171	84	463	547	2.737987326	3.919738684
Desulfovibrionia	Desulfobacterota	Bacteria	479	2.680335513	212	681	893	2.950851459	44.25887265
Actinomycetes	Actinomycetota	Bacteria	42769	4.631129096	14696	16241	30937	4.490478197	34.36133648
Negativicutes	Bacillota_C	Bacteria	1822	3.260548373	775	836	1611	3.20709554	42.53567508
Desulfuromonadia	Desulfobacterota	Bacteria	122	2.086359831	18	58	76	1.880813592	14.75409836
Bacilli_A	Bacillota_I	Bacteria	3632	3.56014584	547	670	1217	3.085290578	15.06057269
Coriobacteriia	Actinomycetota	Bacteria	1136	3.055378331	357	265	622	2.793790385	31.42605634
Synergistia	Synergistota	Bacteria	133	2.123851641	44	43	87	1.939519253	33.08270677
Thermotogae	Thermotogota	Bacteria	169	2.227886705	12	17	29	1.462397998	7.100591716
Rhodothermia	Bacteroidota	Bacteria	203	2.307496038	9	15	24	1.380211242	4.433497537
Verrucomicrobiae	Verrucomicrobiota	Bacteria	607	2.783188691	410	298	708	2.850033258	67.54530478
Halobacteria	Halobacteriota	Archaea	937	2.971739591	45	164	209	2.320146286	4.802561366
Thermoprotei_A	Thermoproteota	Archaea	266	2.424881637	45	16	61	1.785329835	16.91729323
Methanosarcinia	Halobacteriota	Archaea	242	2.383815366	3	21	24	1.380211242	1.239669421
Thermococci	Methanobacteriota_B	Archaea	129	2.11058971	0	0	0	0	0
Thermoplasmata	Thermoplasmatota	Archaea	109	2.037426498	0	4	4	0.602059991	0
Methanobacteria	Methanobacteriota	Archaea	387	2.587710965	28	80	108	2.033423755	7.235142119
Methanomicrobia	Halobacteriota	Archaea	145	2.161368002	1	7	8	0.903089987	0.689655172
