level3_pathway_name	1	2	3	4	5	6	7
g__Lactiplantibacillus	16	4	0	0	0	0	0
g__Ligilactobacillus	25	0	0	0	0	0	0
g__Lacticaseibacillus	17	1	1	0	0	0	0
g__Lactobacillus	26	1	0	0	0	0	0
g__Streptomyces	37	1	0	0	0	0	0
g__Enterococcus	40	4	0	0	0	0	0
g__Enterococcus_B	25	2	0	0	0	0	0
g__Listeria	89	6	0	0	0	0	0
g__Listeria_A	20	3	0	0	0	0	0
g__Staphylococcus	335	22	3	1	0	0	0
g__Bacillus	27	2	0	0	0	0	0
g__Bacillus_A	40	6	0	0	0	0	0
g__Paenibacillus	17	3	0	1	0	0	0
g__Streptococcus	486	18	0	0	0	0	0
g__Mycobacterium	164	18	2	0	0	0	0
g__Corynebacterium	17	2	0	0	0	0	0
g__Rhizobium	22	4	0	0	0	0	0
g__Brucella	57	1	0	0	0	0	0
g__Neisseria	47	2	0	0	0	0	0
g__Burkholderia	139	21	6	1	0	0	0
g__Acinetobacter	61	5	1	0	0	0	0
g__Pseudomonas	173	20	8	2	0	1	0
g__Pseudomonas_E	14	3	0	0	0	0	0
g__Serratia	40	9	1	0	0	0	0
g__Yersinia	13	3	1	0	0	0	0
g__Cronobacter	22	6	3	1	0	0	0
g__Enterobacter	113	9	0	0	0	0	0
g__Klebsiella	286	35	15	5	3	0	1
g__Escherichia	503	52	9	5	1	1	0
g__Citrobacter	61	7	4	0	0	0	0
g__Salmonella	306	53	22	3	1	0	0
