vfg	defense	antidefense	amp	arg
BDP_67734	BDP_394	BDP_1407	BDP_213226	BDP_76943
BDP_209725	BDP_1877	BDP_1846	BDP_253400	
BDP_39092	BDP_5462	BDP_5980	BDP_112071	
BDP_169130	BDP_7463	BDP_6461	BDP_221021	
BDP_271044	BDP_8850	BDP_6479	BDP_324973	
BDP_46284	BDP_10152	BDP_7128	BDP_55580	
BDP_350447	BDP_16070	BDP_7678	BDP_314780	
BDP_7128	BDP_18782	BDP_9686	BDP_369257	
BDP_414193	BDP_22094	BDP_10212	BDP_212308	
BDP_414223	BDP_22161	BDP_11852	BDP_300850	
BDP_135977	BDP_23965	BDP_22093	BDP_418940	
BDP_95064	BDP_29071	BDP_23153	BDP_257570	
BDP_292179	BDP_38927	BDP_25820	BDP_314039	
BDP_273280	BDP_46646	BDP_27724	BDP_222824	
BDP_232008	BDP_54415	BDP_27889	BDP_95775	
BDP_287550	BDP_55581	BDP_30722	BDP_142304	
BDP_182444	BDP_58925	BDP_31559	BDP_106794	
BDP_20900	BDP_62342	BDP_32524	BDP_342405	
BDP_389871	BDP_64699	BDP_33626		
BDP_84765	BDP_65267	BDP_39631		
BDP_339510	BDP_68416	BDP_40012		
BDP_231586	BDP_71955	BDP_41491		
BDP_7343	BDP_72834	BDP_42760		
BDP_210263	BDP_77517	BDP_43859		
BDP_62342	BDP_77571	BDP_47748		
BDP_32139	BDP_77652	BDP_51291		
BDP_144890	BDP_77793	BDP_52276		
BDP_401494	BDP_78327	BDP_53128		
BDP_137565	BDP_80166	BDP_53767		
BDP_36663	BDP_81606	BDP_55580		
BDP_256468	BDP_82119	BDP_55998		
BDP_320732	BDP_82120	BDP_55999		
BDP_290197	BDP_82967	BDP_58845		
BDP_126454	BDP_87640	BDP_62693		
BDP_338259	BDP_88808	BDP_67408		
BDP_66768	BDP_90453	BDP_68416		
BDP_34167	BDP_93153	BDP_69401		
BDP_394496	BDP_95222	BDP_71439		
BDP_397031	BDP_96934	BDP_71967		
BDP_269662	BDP_97161	BDP_72834		
BDP_252575	BDP_97183	BDP_76943		
BDP_142901	BDP_106466	BDP_78341		
BDP_198272	BDP_112953	BDP_78439		
BDP_178773	BDP_114748	BDP_79766		
BDP_20840	BDP_120130	BDP_80268		
BDP_368544	BDP_124521	BDP_89985		
BDP_152488	BDP_125569	BDP_90115		
BDP_352595	BDP_126589	BDP_90453		
BDP_7678	BDP_127872	BDP_90648		
BDP_7712	BDP_128329	BDP_90685		
BDP_377489	BDP_128330	BDP_92079		
BDP_96934	BDP_129624	BDP_93143		
BDP_7463	BDP_132862	BDP_95017		
BDP_389660	BDP_134872	BDP_95222		
BDP_379362	BDP_137927	BDP_98627		
BDP_379390	BDP_137977	BDP_101122		
BDP_255070	BDP_138356	BDP_105940		
BDP_68470	BDP_139966	BDP_105943		
BDP_371273	BDP_140496	BDP_106008		
BDP_156271	BDP_141730	BDP_106059		
BDP_156311	BDP_142294	BDP_107882		
BDP_156425	BDP_142901	BDP_110759		
BDP_385498	BDP_143805	BDP_112071		
BDP_385523	BDP_145452	BDP_114069		
BDP_179688	BDP_146191	BDP_115652		
BDP_311366	BDP_146555	BDP_116151		
BDP_187082	BDP_150219	BDP_119818		
BDP_10152	BDP_150556	BDP_120130		
BDP_312796	BDP_151708	BDP_124505		
BDP_427125	BDP_151728	BDP_124521		
BDP_253536	BDP_152343	BDP_126589		
BDP_209939	BDP_152486	BDP_127874		
BDP_271444	BDP_152488	BDP_128688		
BDP_419966	BDP_156271	BDP_128877		
BDP_98587	BDP_161563	BDP_132789		
BDP_283135	BDP_166231	BDP_133059		
BDP_121767	BDP_172532	BDP_134872		
BDP_300837	BDP_175487	BDP_136463		
BDP_195097	BDP_177695	BDP_137215		
BDP_78067	BDP_177895	BDP_140254		
BDP_366006	BDP_179830	BDP_141055		
BDP_92831	BDP_183873	BDP_141457		
BDP_41217	BDP_186421	BDP_142304		
BDP_22880	BDP_187082	BDP_145042		
BDP_114542	BDP_197286	BDP_145090		
BDP_370169	BDP_201354	BDP_145452		
BDP_69217	BDP_202661	BDP_146501		
BDP_115986	BDP_206923	BDP_150259		
BDP_114824	BDP_207429	BDP_152500		
BDP_222024	BDP_208998	BDP_153954		
BDP_1245	BDP_209011	BDP_156280		
BDP_274500	BDP_210263	BDP_159911		
BDP_334843	BDP_212244	BDP_160637		
BDP_1877	BDP_214677	BDP_160814		
BDP_342405	BDP_218854	BDP_161737		
BDP_49836	BDP_221019	BDP_162165		
BDP_281567	BDP_221022	BDP_163303		
	BDP_222375	BDP_164141		
	BDP_231351	BDP_164554		
	BDP_234191	BDP_171705		
	BDP_234459	BDP_172134		
	BDP_238942	BDP_173484		
	BDP_242849	BDP_176272		
	BDP_244772	BDP_176777		
	BDP_246950	BDP_177034		
	BDP_250642	BDP_177054		
	BDP_255335	BDP_177579		
	BDP_256033	BDP_179988		
	BDP_256688	BDP_183963		
	BDP_257425	BDP_184379		
	BDP_257804	BDP_186421		
	BDP_259747	BDP_187086		
	BDP_261622	BDP_188986		
	BDP_270410	BDP_189125		
	BDP_272190	BDP_189805		
	BDP_272718	BDP_189843		
	BDP_274137	BDP_191998		
	BDP_275613	BDP_193742		
	BDP_284655	BDP_193823		
	BDP_286218	BDP_195232		
	BDP_287769	BDP_197058		
	BDP_289282	BDP_202695		
	BDP_300816	BDP_209901		
	BDP_302227	BDP_212308		
	BDP_304492	BDP_213226		
	BDP_306891	BDP_215957		
	BDP_311366	BDP_217083		
	BDP_311887	BDP_225979		
	BDP_313407	BDP_228513		
	BDP_314782	BDP_229201		
	BDP_315954	BDP_233710		
	BDP_316148	BDP_234191		
	BDP_317070	BDP_238060		
	BDP_318636	BDP_238298		
	BDP_319361	BDP_240718		
	BDP_323720	BDP_241141		
	BDP_327467	BDP_242231		
	BDP_327509	BDP_242849		
	BDP_332443	BDP_245951		
	BDP_334282	BDP_249542		
	BDP_336983	BDP_252990		
	BDP_339481	BDP_253400		
	BDP_348658	BDP_255609		
	BDP_350044	BDP_256032		
	BDP_356386	BDP_256035		
	BDP_356833	BDP_256068		
	BDP_367408	BDP_256468		
	BDP_368786	BDP_259662		
	BDP_370990	BDP_262149		
	BDP_371237	BDP_264896		
	BDP_372268	BDP_266949		
	BDP_374860	BDP_268683		
	BDP_378423	BDP_268882		
	BDP_378908	BDP_268984		
	BDP_379362	BDP_271512		
	BDP_380762	BDP_273280		
	BDP_381381	BDP_276791		
	BDP_385498	BDP_278497		
	BDP_386434	BDP_278529		
	BDP_388676	BDP_279468		
	BDP_389660	BDP_281888		
	BDP_390140	BDP_282447		
	BDP_390433	BDP_286402		
	BDP_394590	BDP_289282		
	BDP_398813	BDP_292342		
	BDP_399366	BDP_292503		
	BDP_403097	BDP_294177		
	BDP_408307	BDP_294215		
	BDP_408428	BDP_294406		
	BDP_409170	BDP_298507		
	BDP_411494	BDP_300116		
	BDP_411623	BDP_300850		
	BDP_413939	BDP_301091		
	BDP_414193	BDP_303310		
	BDP_419704	BDP_306890		
	BDP_420364	BDP_311371		
	BDP_424973	BDP_314039		
	BDP_425149	BDP_314780		
	BDP_428238	BDP_315826		
		BDP_315865		
		BDP_316637		
		BDP_316933		
		BDP_319361		
		BDP_323682		
		BDP_324973		
		BDP_325606		
		BDP_328451		
		BDP_328565		
		BDP_336983		
		BDP_338759		
		BDP_339706		
		BDP_339861		
		BDP_341102		
		BDP_342577		
		BDP_346082		
		BDP_349187		
		BDP_355472		
		BDP_357723		
		BDP_360647		
		BDP_362213		
		BDP_365150		
		BDP_369257		
		BDP_369946		
		BDP_371237		
		BDP_377282		
		BDP_379364		
		BDP_380896		
		BDP_383814		
		BDP_385108		
		BDP_385600		
		BDP_390162		
		BDP_390717		
		BDP_392265		
		BDP_393969		
		BDP_394140		
		BDP_401899		
		BDP_404797		
		BDP_405575		
		BDP_407171		
		BDP_409246		
		BDP_409691		
		BDP_411578		
		BDP_412654		
		BDP_413536		
		BDP_418940		
		BDP_420249		
		BDP_424238		
		BDP_428369		
		BDP_428982		
		BDP_429535		
		BDP_429706		
