ptoh	genome_len
2.371894134350874	11270
1.9197497560695633	24891
1.8679625964479554	26627
2.084556890434383	26627
2.3293051643192486	21301
2.0334312188168213	14031
2.115266789047542	26627
2.4258260675162084	21301
2.196232712092716	14030
2.441739009131783	26627
2.4760217223164567	22582
1.8938998977669321	23210
2.1478086864267607	23210
2.2772732061313055	35258
2.3742976353186154	11774
1.9666701602079821	22525
2.791002837	27493
2.239937568615002	27493
2.1441054127541386	14010
2.0489589652640103	26502
2.175665761250035	27471
1.9580861142276775	27494
2.2179947297799765	27493
2.1857251753869904	27493
2.1644348216343414	27482
2.0865014037141383	20417
2.0144866012722678	22522
3.3471861846278035	7709
1.9783226465233448	29690
2.1601947502573142	27493
2.7953219291499516	27493
1.9093516630232252	12741
2.8673136645962733	8741
2.549718359626697	27493
2.1974934057711	29079
3.791076296784896	9548
2.169673636655299	32594
2.2158682525825695	27493
2.3648056335289755	27432
2.972310775116131	10980
4.923810563072894	27493
2.2330477869999426	40131
2.2402620317981152	47544
1.9421381193276266	26627
2.395336941211357	7709
2.541614680519825	7709
2.435417747794499	7709
2.3546138604519506	7709
2.066325237311833	23604
2.109575650063022	21422
2.0743676272516023	22522
2.174915055502777	27493
2.3826235680167267	28559
1.9788516017493858	27493
2.150730911929624	27493
2.182749240344293	25443
2.0322373713725397	31191
3.5753762324857292	7709
3.862262028674076	27493
2.0882727012748536	27493
3.8778966561619277	32594
3.168875560323051	49207
2.1907030742566174	30307
2.159032601831386	12669
1.749433439650831	13617
2.8990345738910914	16902
2.093448040281426	22079
5.885936422252212	12351
2.489679183718803	11460
2.9087490995901377	11460
2.3595078104546645	11460
2.2228648106244275	12375
2.8403990184956083	11460
2.4485894473019574	30067
2.196042645739228	12525
2.41859904975584	15155
2.920474272128611	15143
2.449239948774787	15143
2.6422533350944395	15143
2.503635583146216	15143
2.5206950520440485	15153
2.4147498915032926	15143
3.1136821490023405	13368
2.0762905038544948	11487
3.8316700915422253	59178
2.1486171694577227	31742
2.5601519399902566	32499
1.7469105457376373	18044
2.692769140185212	27995
2.385574219685731	27995
2.5489892221599537	11194
3.363048737268679	21634
17.41373336322687	28037
2.4930775531148544	19871
2.120406291169489	119972
2.172707397304236	12465
2.2364924024176696	6745
3.0524400388187996	14427
2.6776077573609713	9423
2.479296420580023	97874
2.4071605403923333	31850
